topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
ER p=0.12,17,uniform,4.282870885324963,-0.0,2.7059032456184897,-2.2165312511442217,0.24564142328471053,1.0,0.9999394572787133
ER p=0.12,17,degree_linear,4.282870885324963,-0.0,2.5835022883490866,-2.170966476414238,0.24796648968232035,1.0,0.999966592237452
ER p=0.12,256,uniform,4.3950764033785275,-0.0,2.879354405815762,-2.2350786530973954,0.24106263156663923,1.0,0.9999884049490901
ER p=0.12,256,degree_linear,4.3950764033785275,-0.0,2.5032820159877143,-2.1807367758261917,0.2569387648408258,1.0,0.9998898986140488
ER p=0.12,1337,uniform,2.7317159768706034,-0.0,2.8421756746364597,-2.211623852715204,0.24843488625638563,1.0,0.999968734535695
ER p=0.12,1337,degree_linear,2.7317159768706034,-0.0,2.651749634837682,-2.162347085731349,0.259646744353313,1.0,0.9998570055740075
ER p=0.12,99,uniform,3.3703834940162496,-0.0,2.9517561683800495,-2.1733621125956253,0.2588940479710216,1.0,0.9998895442752717
ER p=0.12,99,degree_linear,3.3703834940162496,-0.0,2.5952143196967024,-2.142465608042916,0.2691450140969353,1.0,0.9997714110250152
ER p=0.12,314,uniform,3.4153692082684546,-0.0,3.0066165703122785,-2.229262705457257,0.24261951637624077,1.0,0.999900726638917
ER p=0.12,314,degree_linear,3.4153692082684546,-0.0,2.5914954532996064,-2.152430203742816,0.25792249691472846,1.0,0.9999218903380468
Lattice 10x10,42,uniform,0.38196601125010393,0.7014714598838974,2.9633942470010406,-1.2980782050182107,0.1666582442601535,0.81,0.2740352793145794
Lattice 10x10,42,degree_linear,0.38196601125010393,0.7014714598838974,2.9633942470010406,-1.2980782050182107,0.1666582442601535,0.81,0.2740352793145794
Lattice 10x10,123,uniform,0.38196601125010393,0.7579911871785623,4.036127994163946,-1.449318447287187,0.445296964834929,0.81,0.6002241869869812
Lattice 10x10,123,degree_linear,0.38196601125010393,0.7579911871785623,4.036127994163946,-1.449318447287187,0.445296964834929,0.81,0.6002241869869812
Lattice 10x10,777,uniform,0.38196601125010393,0.24229218908241482,4.263616709736603,-1.6440908041087807,0.46508788607208656,0.96,0.779346286310938
Lattice 10x10,777,degree_linear,0.38196601125010393,0.24229218908241482,4.263616709736603,-1.6440908041087807,0.46508788607208656,0.96,0.779346286310938
Lattice 10x10,17,uniform,0.38196601125010393,0.557438185027989,3.07329071568257,-1.3315186369048138,0.2849107214835784,0.87,0.34493964747144423
Lattice 10x10,17,degree_linear,0.38196601125010393,0.557438185027989,3.07329071568257,-1.3315186369048138,0.2849107214835784,0.87,0.34493964747144423
Lattice 10x10,256,uniform,0.38196601125010393,0.499915958164528,3.187714799916396,-1.382244866069793,0.3625309812137678,0.89,0.4411253142027824
