m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
5,HUBS_LISTEN,4,17,2.675404854440093,4.435436556616352,31,3.7297358847431656,0.057995508374884874,0.03552933481441924
5,HUBS_LISTEN,4,256,2.675404854440093,4.435436556616352,31,3.727104735755161,0.06440653136347108,0.04583853674397623
5,HUBS_BROADCAST,4,42,4.491008262677539,2.5971937201429007,1,3.4167755010622654,0.0,0.008358885911022311
5,HUBS_BROADCAST,4,123,4.491008262677539,2.5971937201429007,1,3.3084051194245507,0.0,0.032442816731651364
5,HUBS_BROADCAST,4,777,4.491008262677539,2.5971937201429007,1,3.383754387103944,0.0,-0.0038365549496357167
5,HUBS_BROADCAST,4,17,4.491008262677539,2.5971937201429007,1,3.284421469368167,0.0,0.0043387808960013135
5,HUBS_BROADCAST,4,256,4.491008262677539,2.5971937201429007,1,3.397274529600225,0.0,0.011814081297483322
5,UNDIRECTED,5,42,nan,nan,0,3.1616584955080116,0.0,-0.000986503957879222
5,UNDIRECTED,5,123,nan,nan,0,3.2522776640025044,0.0,0.0050019191838013895
5,UNDIRECTED,5,777,nan,nan,0,3.153117195986618,0.0,0.0036697247164952716
5,UNDIRECTED,5,17,nan,nan,0,3.206065748624724,0.0,9.074980242211716e-05
5,UNDIRECTED,5,256,nan,nan,0,3.336150413091806,0.0,9.65014227693981e-05
5,RANDOM,5,42,3.4632665167061147,2.7587805223124446,1,3.3706167961348763,0.0,0.012193533878926157
5,RANDOM,5,123,3.4632665167061147,2.7587805223124446,1,3.390036424929932,0.0004039656794795559,0.02586901231211703
5,RANDOM,5,777,3.4632665167061147,2.7587805223124446,1,3.4625204318359617,0.0,0.021543698212192965
5,RANDOM,5,17,3.4632665167061147,2.7587805223124446,1,3.3127864041491693,0.0,0.009224630079418572
5,RANDOM,5,256,3.4632665167061147,2.7587805223124446,1,3.3424376176361976,0.0,-0.008775556520441536
5,HUBS_LISTEN,5,42,2.6297202841716394,4.351800167457438,34,3.7492050509174444,0.08377279788440134,0.05483925786584429
5,HUBS_LISTEN,5,123,2.6297202841716394,4.351800167457438,34,3.7881652576478446,0.10114397582164637,0.07398221944570686
5,HUBS_LISTEN,5,777,2.6297202841716394,4.351800167457438,34,3.8336904210997385,0.17436069302290874,0.05950879854109082
5,HUBS_LISTEN,5,17,2.6297202841716394,4.351800167457438,34,3.784679891740863,0.12450654091791699,0.04798796457211511
5,HUBS_LISTEN,5,256,2.6297202841716394,4.351800167457438,34,3.8657254140772155,0.1390504341408891,0.03807593048666006
5,HUBS_BROADCAST,5,42,4.331325196617996,2.719683504419071,1,3.3828715151449296,0.0,0.007041454230229667
5,HUBS_BROADCAST,5,123,4.331325196617996,2.719683504419071,1,3.4117198187300177,0.0004039656794795559,-0.005760527775351461
5,HUBS_BROADCAST,5,777,4.331325196617996,2.719683504419071,1,3.2536679038444594,0.0,0.03802417226306234
5,HUBS_BROADCAST,5,17,4.331325196617996,2.719683504419071,1,3.329580227932703,0.0,0.008521412333507531
5,HUBS_BROADCAST,5,256,4.331325196617996,2.719683504419071,1,3.3881841817956984,0.0,0.021912301279061897
