N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,3.2142857142857144,37,2.3922884351077895,3.1311242323126125,0.6654440336756982,0.820587964157953,-0.009417528369672986,3.252173149902279
100,3.2142857142857144,38,2.6089999261979355,3.248940228396083,0.6653218828271756,0.828463944255811,-0.017951130340333674,3.2525859808424697
100,3.2142857142857144,39,2.8394575628929233,3.1788263404368036,0.6661294963718565,0.8107801398851486,-0.003108485067042272,3.1595641448494107
100,4.285714285714286,0,2.6974841325937744,3.2084443789536414,0.6656356996467232,0.8109287432832215,-0.003223563459527255,3.314268650484071
100,4.285714285714286,1,3.04977528867881,3.1170497846637257,0.6656631932210073,0.8039443835738005,-0.011259617769201547,3.3031330696967305
100,4.285714285714286,2,2.7122340971593455,3.054529729322898,0.6655034714279504,0.8366371311498145,0.0030157977567043482,3.0342499886353846
100,4.285714285714286,5,2.8140761832805117,3.128707996670887,0.6655164594826024,0.7994862816316164,-0.011151737233668354,2.91531711550309
100,4.285714285714286,4,3.249166440874601,3.0446422480922894,0.6642325609196675,0.8238572389155547,-0.0004384510307649858,3.2261281546009393
100,4.285714285714286,3,3.028101136383213,3.1269796383207047,0.6657595135772316,0.8018639360007813,-0.0053666813883114055,3.1175403835439917
100,4.285714285714286,7,3.0420936017665614,2.993470592964828,0.6641766786032235,0.8327734427999216,-0.019932885271261167,2.9966293279184586
100,4.285714285714286,6,2.816875351329331,3.1224129012962454,0.6649185253699306,0.801120919010417,-0.028086791775626663,3.172123994098025
100,4.285714285714286,8,2.4986643062382106,3.2548702432062413,0.6658724442811446,0.8165756724099879,0.016155774435888105,3.3899013830603244
100,4.285714285714286,10,2.599014505708778,3.1072311949451863,0.6655590508011895,0.8131577942543133,-0.007391406261507378,3.1652147117418914
100,4.285714285714286,11,2.771817176619875,3.1151506065269774,0.6656249024888541,0.8205879641579528,0.0025173537623350236,3.174449396343646
100,4.285714285714286,9,3.049196392027198,3.072747139046132,0.6657695853152514,0.8217767913425352,-0.013362102571713788,3.0515967028568665
100,4.285714285714286,13,3.3989254637217887,2.973569479849498,0.6647449601188673,0.8305443918288303,-0.01305830891456257,3.159843450407867
100,4.285714285714286,12,2.6613647910661835,3.0212516403873995,0.6649737871872401,0.7832885112416825,-0.005604607545566459,2.992323395635326
100,4.285714285714286,16,2.647321352011219,3.092800233402252,0.6654630382591518,0.8243030491097726,-0.011249649866275383,3.1473066936862426
100,4.285714285714286,15,3.0095241093217746,3.0985510319438987,0.6654357348140996,0.8210337743521708,-0.01308807477450641,3.209841064104049
100,4.285714285714286,17,3.5574746519465634,2.9601688762185456,0.6656076631813934,0.8002292986219808,0.00784136409903551,3.0919749938616286
100,4.285714285714286,14,2.7735920842263293,3.0635957795002446,0.6652151538245596,0.8045387971660917,-0.012664513923933684,2.9656224322662803
100,4.285714285714286,18,3.31255968476562,3.1005326036947443,0.6649554077379425,0.7950281796894327,0.004906196106672586,3.1558063068557614
100,4.285714285714286,19,2.8166903505389524,3.0896552141204867,0.665454499543322,0.8234114287213355,-0.010709189454033052,3.036701695112333
100,4.285714285714286,21,2.8975910394503277,3.0552987704382177,0.6630201389451092,0.8263834966827919,0.030464337907391788,3.0142853512460617
100,4.285714285714286,20,2.7482948485252474,3.1544936406432225,0.6655187565473745,0.7926505253202683,-0.009791320527909974,3.196886763531836
100,4.285714285714286,22,3.0680926487584186,3.1897340029055705,0.6657026137065836,0.8000806952239078,0.0037382478402725513,3.199824921224224
100,4.285714285714286,24,3.198675601266372,3.052469847009497,0.6650454835344031,0.8246002559059181,-0.02511383537345798,2.9583049304231506
100,4.285714285714286,23,2.9324445924681326,3.123929573598883,0.6647329101044432,0.813603604448532,-0.026765778238898294,3.1956132506197132
100,4.285714285714286,25,3.0911642610718446,3.180176023232427,0.665197176204368,0.7933935423106321,0.009126071862196362,3.1325101540245295
100,4.285714285714286,27,3.0065557480767935,3.157975403427465,0.665357521249979,0.8094427093024937,-0.004621119114339617,3.034533827336667
100,4.285714285714286,26,3.484158344308244,3.044562991037693,0.6656368604182431,0.8192505335752979,-0.00535949712439291,3.0242074858727155
100,4.285714285714286,28,3.0806815177624287,3.115096221458901,0.6657635234262211,0.805579020952601,-0.013363479809207181,3.165798158602223
100,4.285714285714286,31,3.061356003865814,3.2029418650604944,0.6658104688424726,0.7974058340585973,-0.0012056628567467147,3.1415294133027345
100,4.285714285714286,29,3.2393558304054504,3.0835820304810584,0.6656489205899782,0.803795780175727,0.012994764345270667,2.9185575365593843
100,4.285714285714286,30,3.3674253219744212,2.997668504786126,0.6655074614654686,0.7982974544470344,0.012990843942227069,2.9091713602898577
100,4.285714285714286,32,3.2122018761875153,3.0191078572066585,0.6648749505164737,0.8259376864885737,-0.006989357416540313,2.8915911613193823
100,4.285714285714286,33,2.8037760935798195,3.0118348232665264,0.665302552137672,0.8272751170712286,0.010267346907352199,2.973410617546034
100,4.285714285714286,34,3.0095032944082005,3.0440624880414915,0.6654542145800457,0.8234114287213363,-0.00041885300315313857,3.1358215387374524
100,4.285714285714286,35,3.0145964258408973,3.05715083311749,0.6651850719656038,0.7916103015337588,-0.01985480597876253,3.0402162915415185
100,4.285714285714286,36,3.1374776716361406,2.997842179820176,0.6646254076122874,0.8299499782365386,-0.0016088874897265584,3.107647181295065
100,4.285714285714286,39,2.882610233085209,2.9779826665559197,0.6649793394466224,0.8290583578481022,-0.023213281292213953,3.1005379984390236
100,4.285714285714286,37,3.491170693305996,2.9376697592350958,0.6650453714735933,0.8358941141594504,-0.006408088909314886,3.0101444013252086
100,5.357142857142857,0,3.382517641454797,3.006949564768524,0.6650302707418281,0.8259376864885737,0.0010967811721688946,3.068696348560419
100,4.285714285714286,38,3.048898836148649,3.1632616391434145,0.6656467078718262,0.8084024855159843,0.0029898143345185573,3.2169538417100134
100,5.357142857142857,2,3.242470668015106,2.84121728375608,0.6650725188627193,0.8153868452254052,-0.0032000102757070888,2.872338156962947
100,5.357142857142857,1,3.3834106798330708,2.9924810376677864,0.6651984390666807,0.7948795762913601,0.006865914128116307,3.0058443199267533
100,5.357142857142857,3,3.377527300918847,2.9963356199406435,0.6654660989743593,0.8260862898866459,-0.011521856232175137,2.918920522030786
100,5.357142857142857,4,3.4406637753036313,3.0343924845430172,0.6654541432106367,0.8192505335752979,-0.015404779724728711,3.013521051621393
100,5.357142857142857,5,3.353309134374313,3.031855530061887,0.6654401687712137,0.8058762277487463,-0.01951134916505073,2.8176348784562295
100,5.357142857142857,6,2.847940429982688,3.043056275804037,0.665098163141365,0.7829913044455368,-0.02382896035424201,3.136651884794412
100,5.357142857142857,8,2.603024459232073,3.006765376859429,0.6645613024070769,0.7801678398821538,-0.012695455000992261,2.994827679039793
100,5.357142857142857,9,3.405570146833384,2.962179378488966,0.6648007086308245,0.804687400564164,-0.015684359330281547,3.046667970127565
100,5.357142857142857,10,3.506149640540105,2.9987389120930916,0.6652904899859096,0.8164270690119149,-0.011400276562836615,2.9583098131737837
100,5.357142857142857,7,3.4936255106513374,2.914997280860978,0.6647512792634035,0.813900811244677,0.006124570928724475,2.874026368660966
100,5.357142857142857,12,2.7218615789863905,2.9464452898279254,0.6655653609384347,0.7829913044455367,0.006347086145766891,2.993633398288867
100,5.357142857142857,11,3.6488889757020995,2.9288984758354335,0.6653848195641643,0.7951767830875056,0.005693621183541477,2.9082956684956147
