m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
5,0.05,FULL,100,123,3.3459045922390382,0.006009929740618183,0.07472502961853794
5,0.05,FULL,100,777,3.2999647723119216,0.0021544836238909645,0.10185809924297042
5,0.05,FULL,100,17,3.2637881625807825,0.0002693104529863706,0.06897212460929074
5,0.05,FULL,100,256,3.2199449228128,0.004915150585556629,0.11188766984799013
5,0.05,FULL,100,1337,3.2731521144184854,0.0008079313589591118,0.06268424937218521
5,0.05,FULL,100,99,3.2648758170085093,0.001346552264931853,0.08802849335508275
5,0.05,FULL,100,314,3.392504665916855,0.002533146030343182,0.09061377967885735
5,0.05,FULL,100,2024,3.3342690470411354,0.0013465522649318531,0.06194786854751828
5,0.05,FULL,100,888,3.3502911061065355,0.0022894892152106575,0.09403285005201693
5,0.05,FULL,1000,42,3.387582460501162,0.00336673102715614,0.06537966538892512
5,0.05,FULL,1000,123,3.3781243379391563,0.008618635225216872,0.1152586443683461
5,0.05,FULL,1000,777,3.3349149294551794,0.007719299256876606,0.09453170870614319
5,0.05,FULL,1000,17,3.4254532550507952,0.004376820408268284,0.08985541574950019
5,0.05,FULL,1000,256,3.454155420222364,0.00424181481694859,0.11351144318594128
5,0.05,FULL,1000,1337,3.2545459082760515,0.006345110437416085,0.08192062558297841
5,0.05,FULL,1000,99,3.275688501846327,0.003164573005003108,0.12017968847268509
5,0.05,FULL,1000,314,3.520331161676736,0.010520764281868749,0.0943844278568692
5,0.05,FULL,1000,2024,3.4228481291269737,0.007448587344584207,0.0834860265328789
5,0.05,FULL,1000,888,3.4519091188527153,0.007112124460764496,0.12026114232072237
5,0.05,FULL,10000,42,3.370237072443823,0.008349324772230503,0.06566813237083627
5,0.05,FULL,10000,123,3.3954280847918046,0.03066777051702908,0.12807002889643196
5,0.05,FULL,10000,777,3.3280649328238856,0.01386283312950845,0.09449912915856948
5,0.05,FULL,10000,17,3.3836206405304847,0.017724002623330005,0.08367995906014608
